location,lat,lon,federal_state,code
Dresden,51.05,13.75,Sachsen,01067
Dresden,51.05,13.75,Sachsen,01069
Dresden,51.05,13.75,Sachsen,01097
Dresden,51.05,13.75,Sachsen,01099
Dresden,51.05,13.75,Sachsen,01108
Dresden,51.05,13.75,Sachsen,01109
Dresden,51.05,13.75,Sachsen,01127
Dresden,51.05,13.75,Sachsen,01129
Dresden,51.05,13.75,Sachsen,01139
Dresden Cossebaude,51.0882395539565,13.6393642425537,Sachsen,01156
Dresden,51.05,13.75,Sachsen,01157
Dresden,51.05,13.75,Sachsen,01159
Dresden,51.05,13.75,Sachsen,01169
Dresden,51.05,13.75,Sachsen,01187
Dresden,51.05,13.75,Sachsen,01189
Dresden,51.05,13.75,Sachsen,01217
Dresden,51.05,13.75,Sachsen,01219
Dresden,51.05,13.75,Sachsen,01237
Dresden,51.05,13.75,Sachsen,01239
Dresden,51.05,13.75,Sachsen,01257
Dresden,51.05,13.75,Sachsen,01259
Dresden,51.05,13.75,Sachsen,01277
Dresden,51.05,13.75,Sachsen,01279
Dresden,51.05,13.75,Sachsen,01307
Dresden,51.05,13.75,Sachsen,01309
Dresden,51.05,13.75,Sachsen,01324
Dresden,51.05,13.75,Sachsen,01326
Dresden,51.05,13.75,Sachsen,01328
Radebeul,51.1117214378571,13.649485015869,Sachsen,01445
"Radeberg, Sachsen",51.11392,13.91364,Sachsen,01454
Ottendorf-Okrilla,51.18304,13.8323399999999,Sachsen,01458
Dresden Cossebaude,51.0882395539565,13.6393642425537,Sachsen,01462
Dresden,51.05,13.75,Sachsen,01465
Moritzburg bei Dresden,51.1592183153795,13.680210095215,Sachsen,01468
Radeburg,51.2131855840929,13.7233858306885,Sachsen,01471
Arnsdorf bei Dresden,51.0948,13.9899800000001,Sachsen,01477
Dresden,51.05,13.75,Sachsen,01478
"Großenhain, Sachsen",51.2914459048752,13.5314713001251,Sachsen,01558
Lampertswalde bei Großenhain,51.3134006842652,13.6750255767822,Sachsen,01561
Riesa,51.3063320341141,13.2878978729248,Sachsen,01587
Riesa,51.3063320341141,13.2878978729248,Sachsen,01589
Riesa,51.3063320341141,13.2878978729248,Sachsen,01591
Hirschstein bei Riesa,51.263160836931,13.3930047988891,Sachsen,01594
Wülknitz bei Riesa,51.3691113511446,13.392618560791,Sachsen,01609
Glaubitz,51.3245315716861,13.3767768676757,Sachsen,01612
Strehla,51.3525730412832,13.2258327301025,Sachsen,01616
Zeithain,51.3341043839538,13.3589263916016,Sachsen,01619
Ketzerbachtal Abend,51.1116,13.3109,Sachsen,01623
Coswig bei Dresden,51.130660800737,13.5780643280029,Sachsen,01640
"Meißen, Sachsen",51.1633504354592,13.4812400634765,Sachsen,01662
Triebischtal Perne,51.0894,13.4182,Sachsen,01665
Ketzerbachtal Karcha,51.1116,13.3109,Sachsen,01683
Niederau bei Meißen,51.1757671982405,13.5551009948731,Sachsen,01689
Freital,51.0017,13.6488,Sachsen,01705
Wilsdruff,51.0505125865027,13.5364757354737,Sachsen,01723
Bannewitz,50.99428,13.71783,Sachsen,01728
Kreischa bei Dresden,50.9441056484577,13.7597477142334,Sachsen,01731
"Rabenau, Sachsen",50.96391,13.64316,Sachsen,01734
Tharandt,50.9865689686463,13.5776351745606,Sachsen,01737
Dorfhain,50.9356259243694,13.5626659576416,Sachsen,01738
Dippoldiswalde,50.8957530080532,13.6677299682617,Sachsen,01744
